"","x"
"1",546
"2",138
"3",595
"4",253
"5",262
"6",492
"7",44
"8",562
"9",78
"10",544
"11",542
"12",553
"13",60
"14",534
"15",125
"16",42
"17",438
"18",196
"19",197
"20",33
"21",266
"22",6
"23",219
"24",531
"25",451
"26",128
"27",36
"28",463
"29",536
"30",475
"31",223
"32",401
"33",496
"34",18
"35",23
"36",251
"37",507
"38",596
"39",429
"40",19
"41",545
"42",345
"43",347
"44",9
"45",324
"46",298
"47",600
"48",407
"49",68
"50",2
"51",483
"52",59
"53",494
"54",394
"55",382
"56",91
"57",3
"58",319
"59",524
"60",156
"61",574
"62",549
"63",561
"64",171
"65",98
"66",357
"67",191
"68",10
"69",187
"70",354
"71",340
"72",424
"73",1
"74",506
"75",380
"76",399
"77",290
"78",278
"79",73
"80",74
"81",508
"82",32
"83",398
"84",198
"85",599
"86",331
"87",482
"88",66
"89",539
"90",552
"91",571
"92",177
"93",408
"94",436
"95",180
"96",389
"97",48
"98",362
"99",208
"100",551
"101",437
"102",358
"103",568
"104",263
"105",481
"106",211
"107",162
"108",55
"109",366
"110",500
"111",573
"112",305
"113",519
"114",470
"115",486
"116",406
"117",514
"118",454
"119",413
"120",511
"121",302
"122",309
"123",353
"124",395
"125",30
"126",157
"127",207
"128",563
"129",141
"130",146
"131",275
"132",441
"133",491
"134",566
"135",239
"136",375
"137",431
"138",369
"139",547
"140",598
"141",164
"142",480
"143",322
"144",341
"145",297
"146",124
"147",116
"148",450
"149",230
"150",145
"151",212
"152",295
"153",469
"154",287
"155",512
"156",28
"157",226
"158",570
"159",383
"160",479
"161",85
"162",307
"163",117
"164",229
"165",216
"166",199
"167",179
"168",106
"169",225
"170",127
"171",487
"172",597
"173",462
"174",25
"175",201
"176",433
"177",268
"178",493
"179",416
"180",378
"181",88
"182",204
"183",101
"184",567
"185",543
"186",188
"187",576
"188",388
"189",86
"190",550
"191",186
"192",461
"193",24
"194",392
"195",126
"196",485
"197",202
"198",77
"199",593
"200",460
"201",27
"202",439
"203",560
"204",391
"205",21
"206",422
"207",569
"208",64
"209",13
"210",50
"211",35
"212",459
"213",7
"214",565
"215",195
"216",386
"217",99
"218",349
"219",559
"220",20
"221",527
"222",572
"223",291
"224",339
"225",79
"226",558
"227",421
"228",484
"229",592
"230",537
"231",318
"232",147
"233",457
"234",190
"235",14
"236",227
"237",377
"238",405
"239",323
"240",525
"241",218
"242",11
"243",404
"244",269
"245",184
"246",104
"247",591
"248",376
"249",521
"250",215
"251",176
"252",432
"253",8
"254",455
"255",403
"256",92
"257",89
"258",515
"259",181
"260",67
"261",69
"262",359
"263",351
"264",5
"265",590
"266",313
"267",361
"268",65
"269",214
"270",535
"271",465
"272",489
"273",526
"274",342
"275",169
"276",47
"277",97
"278",335
"279",4
"280",270
"281",320
"282",517
"283",293
"284",272
"285",523
"286",254
"287",12
"288",520
"289",312
"290",589
"291",161
"292",303
"293",501
"294",75
"295",311
"296",304
"297",370
"298",285
"299",155
"300",193
"301",301
"302",588
"303",284
"304",22
"305",346
"306",152
"307",283
"308",259
"309",240
"310",522
"311",518
"312",63
"313",133
"314",282
"315",587
"316",325
"317",356
"318",261
"319",414
"320",123
"321",247
"322",237
"323",555
"324",420
"325",513
"326",540
"327",142
"328",510
"329",586
"330",231
"331",122
"332",222
"333",509
"334",192
"335",585
"336",121
"337",373
"338",221
"339",248
"340",131
"341",224
"342",557
"343",498
"344",210
"345",108
"346",504
"347",584
"348",502
"349",473
"350",189
"351",172
"352",548
"353",105
"354",365
"355",260
"356",167
"357",495
"358",503
"359",163
"360",583
"361",95
"362",135
"363",136
"364",434
"365",159
"366",417
"367",497
"368",84
"369",158
"370",582
"371",134
"372",148
"373",276
"374",393
"375",419
"376",71
"377",132
"378",488
"379",143
"380",194
"381",384
"382",581
"383",57
"384",360
"385",115
"386",472
"387",328
"388",111
"389",118
"390",43
"391",490
"392",175
"393",580
"394",102
"395",464
"396",594
"397",37
"398",315
"399",83
"400",579
"401",109
"402",29
"403",81
"404",314
"405",578
"406",46
"407",444
"408",468
"409",310
"410",453
"411",182
"412",56
"413",577
"414",61
"415",34
"416",443
"417",467
"418",76
"419",140
"420",26
"421",442
"422",466
"423",430
"424",402
"425",452
"426",440
"427",449
"428",423
"429",448
"430",372
"431",415
"432",447
"433",371
"434",476
"435",418
"436",332
"437",446
"438",516
"439",300
"440",396
"441",326
"442",390
"443",445
"444",456
"445",379
"446",306
"447",474
"448",385
"449",427
"450",368
